ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
56,Victor,Lopez,11/20/18,Employee,443.01,0,false,victorlopez,Fun!23
57,Denisse,LoyaVillalobos,1/13/24,Employee,3025.16,0,true,denisseloyavillalobos,Fun!23
58,Miguel,Lucero,4/30/77,Employee,2501.23,0,false,miguellucero,Fun!23
59,Daniel,Lucio,7/12/04,Employee,1667.08,0,true,daniellucio,Fun!23
60,Ashley,Magallanes,8/11/02,Employee,240.64,0,false,ashleymagallanes,Fun!23
61,Leila,Martinez,5/7/85,Employee,1700.25,0,false,leilamartinez,Fun!23
62,Enrique,Munoz,2/11/30,Employee,293.48,0,true,enriquemunoz,Fun!23
63,Alejandro,Olivas,1/13/12,Employee,2993.46,0,false,alejandroolivas,Fun!23
64,Santiago,Olivas,7/20/60,Employee,2942.71,0,true,santiagoolivas,Fun!23
65,Bella,Quintero,11/29/08,Employee,2017.65,0,false,bellaquintero,Fun!23
66,Samuel,RamosSanchez,2/9/13,Employee,2348.3,0,true,samuelramossanchez,Fun!23
67,Enrique,Rico,12/9/00,Employee,593.27,0,true,enriquerico,Fun!23
68,Emilia,Rivas,3/3/95,Employee,2950.35,0,true,emiliarivas,Fun!23
69,Mayra,Robles,4/25/84,Employee,1051.03,0,false,mayrarobles,Fun!23
70,Brian,RodilesDelgado,3/2/84,Employee,1735.69,0,true,brianrodilesdelgado,Fun!23
71,Seth,Rodriguez,5/17/90,Employee,1075.23,0,true,sethrodriguez,Fun!23
72,Jorge,RodriguezOrtega,2/2/33,Employee,1241.62,0,true,jorgerodriguezortega,Fun!23
73,Jose Luis,Rojas,4/8/36,Employee,528.42,0,false,jose luisrojas,Fun!23
74,Eduardo,Romero,9/24/07,Employee,1383.97,0,true,eduardoromero,Fun!23
75,Gustavo,Rubio,8/22/07,Employee,523.77,0,false,gustavorubio,Fun!23
76,Sariyah,Russell,5/25/84,Employee,725.73,0,false,sariyahrussell,Fun!23
77,Ian,Rybak,1/6/88,Employee,1429.98,0,true,ianrybak,Fun!23
78,Luis,Sanchez,7/13/32,Employee,1800.05,0,true,luissanchez,Fun!23
79,Michael,Santoyo,3/29/38,Employee,1459.93,0,true,michaelsantoyo,Fun!23
80,Gabriela,SigalaAcosta,5/14/04,Employee,196.03,0,true,gabrielasigalaacosta,Fun!23
81,Andres,Soto,5/2/23,Employee,1750.82,0,false,andressoto,Fun!23
82,Gabriel,Terrazas,5/25/21,Employee,1753.27,0,true,gabrielterrazas,Fun!23
83,Sonam,Tshering,11/21/20,Employee,889,0,true,sonamtshering,Fun!23
84,Christina,Valtierra,12/8/04,Employee,3485.26,0,true,christinavaltierra,Fun!23
85,Francisco,Vazquez,6/19/06,Employee,2772,0,true,franciscovazquez,Fun!23
86,Andrea,Villagomez,10/30/85,Employee,608.48,0,false,andreavillagomez,Fun!23
87,Alberto,Villegas,8/29/83,Employee,1715.55,0,true,albertovillegas,Fun!23
88,Geoff,Waller,3/4/24,Employee,880.93,0,false,geoffwaller,Fun!23
89,Jeffrey,Walls,7/24/66,Employee,827.31,0,true,jeffreywalls,Fun!23
90,Alex,Watson,10/12/64,Employee,2595.16,0,true,alexwatson,Fun!23
